Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
ST2,"157,993",139,18,13,,,,10,93,"34,047",12,"32,400",36,https://propertydata.co.uk/draw?input=ST2
ST3,"159,242",153,50,16,567,4.3,,11,87,"67,688",14,"35,000",22,https://propertydata.co.uk/draw?input=ST3
ST4,"151,930",166,43,7,528,4.2,27,10,94,"57,013",22,"36,800",14,https://propertydata.co.uk/draw?input=ST4
ST5,"170,921",167,64,8,760,5.3,34,10,71,"81,576",23,"38,700",21,https://propertydata.co.uk/draw?input=ST5
ST6,"120,386",136,39,9,458,4.6,48,11,107,"64,639",13,"33,500",25,https://propertydata.co.uk/draw?input=ST6
ST7,"196,071",181,48,10,588,3.6,66,11,54,"53,401",19,"40,700",13,https://propertydata.co.uk/draw?input=ST7
ST8,"205,480",179,16,11,,,,10,43,"20,197",20,"39,500",11,https://propertydata.co.uk/draw?input=ST8
ST9,"282,049",201,9,9,,,,11,35,"11,933",26,"42,700",2,https://propertydata.co.uk/draw?input=ST9
ST10,"245,654",184,22,10,,,,10,37,"25,393",24,"40,400",9,https://propertydata.co.uk/draw?input=ST10
ST11,"257,779",187,8,7,,,,10,42,"9,803",18,"43,500",7,https://propertydata.co.uk/draw?input=ST11
ST12,"322,955",222,4,6,,,,10,32,"3,597",25,"47,300",16,https://propertydata.co.uk/draw?input=ST12
ST13,"201,957",180,26,12,,,,14,50,"28,116",25,"38,600",11,https://propertydata.co.uk/draw?input=ST13
ST14,"301,887",202,18,10,691,2.7,,9,47,"20,789",24,"41,800",13,https://propertydata.co.uk/draw?input=ST14
ST15,"259,029",213,17,6,626,2.9,48,9,49,"21,287",34,"45,300",11,https://propertydata.co.uk/draw?input=ST15
ST16,"202,096",190,22,7,598,3.6,57,10,83,"30,791",27,"41,400",17,https://propertydata.co.uk/draw?input=ST16
ST17,"240,657",198,36,15,648,3.2,72,11,52,"39,359",29,"43,900",19,https://propertydata.co.uk/draw?input=ST17
ST18,"373,317",222,14,9,,,,9,32,"16,609",29,"48,200",6,https://propertydata.co.uk/draw?input=ST18
ST19,"346,692",237,13,10,744,2.6,36,10,45,"14,850",25,"43,900",12,https://propertydata.co.uk/draw?input=ST19
ST20,"322,083",210,3,5,,,,11,29,"6,677",34,"45,300",9,https://propertydata.co.uk/draw?input=ST20
ST21,"363,974",232,4,5,,,,11,30,"5,988",32,"48,800",9,https://propertydata.co.uk/draw?input=ST21
SW1,"1,352,538","1,008",25,1,"2,592",2.3,20,1,306,"52,744",53,"56,700",31,https://propertydata.co.uk/draw?input=SW1
SW2,"505,838",664,24,2,"1,507",3.6,44,6,124,"54,240",47,"53,500",34,https://propertydata.co.uk/draw?input=SW2
SW3,"1,347,623","1,284",13,1,"2,599",2.3,17,4,179,"22,097",54,"59,300",17,https://propertydata.co.uk/draw?input=SW3
